_id,address.address,address.cap,address.geopoint,address.house,address.municipality,department,healtcarePersonnel.0.cellphone,healtcarePersonnel.0.codice_fiscale,healtcarePersonnel.0.name,healtcarePersonnel.0.role,healtcarePersonnel.0.surname,healtcarePersonnel.1.cellphone,healtcarePersonnel.1.codice_fiscale,healtcarePersonnel.1.name,healtcarePersonnel.1.role,healtcarePersonnel.1.surname,healtcarePersonnel.2.cellphone,healtcarePersonnel.2.codice_fiscale,healtcarePersonnel.2.name,healtcarePersonnel.2.role,healtcarePersonnel.2.surname,healtcarePersonnel.3.cellphone,healtcarePersonnel.3.codice_fiscale,healtcarePersonnel.3.name,healtcarePersonnel.3.role,healtcarePersonnel.3.surname,healtcarePersonnel.4.cellphone,healtcarePersonnel.4.codice_fiscale,healtcarePersonnel.4.name,healtcarePersonnel.4.role,healtcarePersonnel.4.surname,name,type
61acd3e25ca7e964a122dee1,Via Giambellino,20146,45.4995 9.2158,131,Milano,covid test,+393974843802,CNTNNG66D42G148H,Inyang Effiong,nurse,Conti,,,,,,,,,,,,,,,,,,,,,Farmacia Biazzi,pharmacy
61acd3e25ca7e964a122dee2,Via delle Forze Armate,20152,45.4995 9.2158,212,Milano,covid test,+393978959495,ZNNLCU80H62C422B,Lucia,nurse,Zennaro,,,,,,,,,,,,,,,,,,,,,Farmacia Fontana,pharmacy
61acd3e25ca7e964a122dee3,Via Lorenteggio,20147,45.4995 9.2158,208,Milano,covid test,+393155672671,RSSLRI79C47D493P,Ilaria,nurse,Rossi,,,,,,,,,,,,,,,,,,,,,Farmacia Lorenteggio,pharmacy
61acd3e25ca7e964a122dee4,Via Bagarotti,20152,45.4995 9.2158,40,Milano,covid test,+39333878414,NGLSRN70T51F044U,Serena,nurse,Angelini,,,,,,,,,,,,,,,,,,,,,Farmacia Municipale 5,pharmacy
61acd3e25ca7e964a122dee5,via Angelo Inganni,20147,45.4995 9.2158,81,Milano,covid test,+393973556967,FBBLNZ29S22G879A,Lorenzo,nurse,Fabbri,,,,,,,,,,,,,,,,,,,,,Farmacia Nuova Inganni,pharmacy
61acd3e25ca7e964a122dee6,Via Marghera,20149,45.4995 9.2158,18,Milano,covid test,+39322936090,PLMRRT33E60B357C,Robertina,nurse,Palumbo,,,,,,,,,,,,,,,,,,,,,Farmacia Ravizza,pharmacy
61acd3e25ca7e964a122dee7,Via Pio II,20153,45.4995 9.2158,3,Milano,covid department,+39357808186,RSSDNS35M31M119Q,Dionis,other,Rossi,+393815710689,MNCYLN72E43D201U,Aylin,doctor,Mancini,+39332931246,RMNSRG31M20L583K,Sergio,other,Romano,,,,,,,,,,,San Carlo,Hospital
61acd3e25ca7e964a122dee8,Via Olgettina,20132,45.4995 9.2158,60,Milano,covid department,+39356436610,FBBDNL25D66D121N,Daniela,other,Fabbri,+39393983037,MSSGPP28A59D518S,Giuseppa,nurse,Messina,+39352870495,RSSSDR85P46L380X,Sandra,other,Rossi,,,,,,,,,,,San Raffaele,Hospital
61acd3e25ca7e964a122dee9,Via Francesco Sforza,20122,45.4995 9.2158,35,Milano,covid department,+393791087846,CCHPQL76T26G953T,Pasquale,doctor,Occhipinti,+393617288719,GLNDRD91A31D211R,Eduard,doctor,Giuliani,+39347441976,BRGGPP97B07G602X,Giuseppe,nurse,Brogi,,,,,,,,,,,Policlinico,Hospital
61acd3e25ca7e964a122deea,Via Antonio di Rudinì,20142,45.4995 9.2158,8,Milano,covid department,+393125571874,CRRMSM23L12C964S,Massimiliano,doctor,Carraro,+39326663945,CPPLDA40S54I281T,Alda,nurse,Coppola,+393599967809,SRRMLY56L70F030O,Marley,other,Sorrentino,,,,,,,,,,,San Paolo,Hospital
61acd3e25ca7e964a122deeb,Piazza Ospedale Maggiore,20162,45.4995 9.2158,3,Milano,covid department,+39340753728,PNNPLA97H49C818K,Paola,nurse,Pinna,+393574275352,CSTLBR01H07L030N,Lamberto,other,Costa,+39325840713,DSNLCN75P67A297X,Luciana,doctor,De Santis,,,,,,,,,,,Niguarda,Hospital
61acd3e25ca7e964a122deec,Via Giovanni Battista Grassi,20157,45.4995 9.2158,74,Milano,vaccination center,+39340840120,MNTMLN87H46F363F,Milena,doctor,Montanari,+39325578497,FRNGRL35T23A844M,Gabriele,nurse,Fornara,+393405790016,RLLFNC44L54F061P,Francesca,nurse,Rallo,,,,,,,,,,,Luigi Sacco,Hospital
61acd3e25ca7e964a122deed,Piazzale Brescia,20149,45.4995 9.2158,20,Milano,vaccination center,+39359824823,MRLNRC22M59B172W,Enrica,other,Marelli,+39378722272,MNNGLG35P12G290F,Gianluigi,doctor,Menna,+39326411671,RCCGNN75M07D458R,Giovanni Carlo,other,Ricci,,,,,,,,,,,Auxologico San Luca,Hospital
61acd3e25ca7e964a122deee,Via San Vittore,20123,45.4995 9.2158,12,Milano,vaccination center,+393898052761,RSSLCU32P09L244G,Luca,nurse,Rossi,+39370771150,FRRMSM48T15B418T,Massimiliano,nurse,Ferrero,+393688470027,RSSMLG65S42D995R,Mihaela Gabriela,nurse,Russo,,,,,,,,,,,San Giuseppe,Hospital
61acd3e25ca7e964a122deef,Via Lodovico Scarampo,20149,45.4995 9.2158,6,Milano,vaccination center,+393154232140,QNTFNC85R44A196Z,Francesca,other,Quinto,+39399764623,SCCVHB79R10D921Q,Vehbi,other,Sacco,+393156779767,FRRGNN94B49G820Z,Giovanna,nurse,Ferrari,,,,,,,,,,,Ospedale Fiera,Hospital
61acd3e25ca7e964a122def0,Piazzale Principessa Clotilde,20121,45.4995 9.2158,3,Milano,vaccination center,+39345227953,BLTCRL48H69E704H,Carola,nurse,Belotti,+39367991576,VCHGRT72E50F677K,Greta,nurse,Vichi,+393489584677,FRRMGR56T69E795D,Mariagrazia,other,Ferrari,,,,,,,,,,,Fatebenefratelli,Hospital
61acd3e25ca7e964a122def1,Via Novara,20153,45.4995 9.2158,1,Milano,covid vaccination,+39332671317,PLCLRT48C02C224Y,Alberto Christian,nurse,Paolucci,+393666673924,DLCGPR38H04G283M,Gaspare,other,De Luca,+393405443078,BNCGPP92R61G692K,Giuseppa,other,Bianco,+39377278477,MRNKLD55A18B288O,Klaodio,other,Marino,+39392602502,BLTSMN66M03C567C,Simone,other,Beltrami,Parco Trenno,vaccination hub
