contact.0.cellphone,contact.0.name,contact.0.surname,contact.1.cellphone,contact.1.name,contact.1.surname,person.address.address,person.address.cap,person.address.house_number,person.address.municipality,person.birthdate,person.cellphone,person.codice_fiscale,person.name,person.sex,person.surname,test.0.datetime,test.0.healtcarePersonnel.codice_fiscale,test.0.healtcarePersonnel.name,test.0.healtcarePersonnel.surname,test.0.id_authorized_body,test.0.result,test.0.type,test.1.datetime,test.1.healtcarePersonnel.codice_fiscale,test.1.healtcarePersonnel.name,test.1.healtcarePersonnel.surname,test.1.id_authorized_body,test.1.result,test.1.type,test.2.datetime,test.2.healtcarePersonnel.codice_fiscale,test.2.healtcarePersonnel.name,test.2.healtcarePersonnel.surname,test.2.id_authorized_body,test.2.result,test.2.type,test.3.datetime,test.3.healtcarePersonnel.codice_fiscale,test.3.healtcarePersonnel.name,test.3.healtcarePersonnel.surname,test.3.id_authorized_body,test.3.result,test.3.type,vaccination.0.brand,vaccination.0.datetime,vaccination.0.dose,vaccination.0.healtcarePersonnel.codice_fiscale,vaccination.0.healtcarePersonnel.name,vaccination.0.healtcarePersonnel.surname,vaccination.0.id_authorized_body,vaccination.0.lot,vaccination.0.production_date,vaccination.0.type,vaccination.1.brand,vaccination.1.datetime,vaccination.1.dose,vaccination.1.healtcarePersonnel.codice_fiscale,vaccination.1.healtcarePersonnel.name,vaccination.1.healtcarePersonnel.surname,vaccination.1.id_authorized_body,vaccination.1.lot,vaccination.1.production_date,vaccination.1.type
+39332083705,Genoveffa,Epifani,+393956412150,Daniela,Paolicelli,Via Cappuccini,92019,58,Sciacca,1963-10-22,+39384336733,RCCLSN63R22E126B,Alessandro,M,Ricci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnson & Johnson,2021-07-11 09:57:05,1,FRLDNL93T63H531M,Daniela,Furlan,61acd3e25ca7e964a122def4,409,2020-10-30 00:00:00,vector vaccine,Johnson & Johnson,2021-08-08 09:57:05,2,RSSDNS35M31M119Q,Dionis,Rossi,61acd3e25ca7e964a122dee7,350,2020-10-17 00:00:00,vector vaccine
+39321317629,Blerim,Ricci,+39324127420,Sara,Casini,Via Gustavo Picardo,83039,24/b,Pratola Serra,1950-08-13,+393619507952,MRTLNZ50M13L067X,Lorenzo,M,Martini,2021-12-01 16:02:53,RSSLRI79C47D493P,Ilaria,Rossi,61acd3e25ca7e964a122dee3,Negative,Molecular,2021-11-14 15:56:53,CSTLBR01H07L030N,Lamberto,Costa,61acd3e25ca7e964a122deeb,Negative,Molecular,,,,,,,,,,,,,,,AstraZeneca,2021-07-12 11:36:49,1,CPPLDA40S54I281T,Alda,Coppola,61acd3e25ca7e964a122deea,128,2020-08-27 00:00:00,vector vaccine,AstraZeneca,2021-08-09 11:36:49,2,PNNPLA97H49C818K,Paola,Pinna,61acd3e25ca7e964a122deeb,917,2020-12-12 00:00:00,vector vaccine
+39329239426,Carmine,Bacci,+39335141962,Maria,Quaranta,Via Caltanissetta,75025,3,Policoro,1951-05-25,+393738887309,DGSPLA51E65C311S,Paola,F,Di Giuseppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnson & Johnson,2021-08-17 13:01:58,1,DSNLCN75P67A297X,Luciana,De Santis,61acd3e25ca7e964a122deeb,350,2020-10-17 00:00:00,vector vaccine,Johnson & Johnson,2021-09-14 13:01:58,2,MRLNRC22M59B172W,Enrica,Marelli,61acd3e25ca7e964a122deed,256,2020-09-19 00:00:00,vector vaccine
+39376769563,Grazia,Parisi,+39378445584,Antonio,Surace,Via Marconi,80026,91,Casoria,1923-06-01,+39387615249,NNCNMR23H41L775H,Ana Maria,F,Innocenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pfizer-BioNTech,2021-10-16 00:50:33,1,DLCGPR38H04G283M,Gaspare,De Luca,61acd3e25ca7e964a122def1,401,2020-10-28 00:00:00,mRNA vaccine,Pfizer-BioNTech,2021-11-13 00:50:33,2,SRRMLY56L70F030O,Marley,Sorrentino,61acd3e25ca7e964a122deea,401,2020-10-28 00:00:00,mRNA vaccine
+393226343811,Palmo,Pedrotti,+39380334472,Giovanni,Quarta,Via Vescovado,89033,12,Bova,1993-01-13,+393223747335,MGGVCN93A13C240T,Vincenzo,M,Maggiani,2021-12-02 01:11:03,FRRMGR56T69E795D,Mariagrazia,Ferrari,61acd3e25ca7e964a122def0,Positive,Antigen,,,,,,,,,,,,,,,,,,,,,,Moderna,2021-10-23 17:51:37,1,SCCVHB79R10D921Q,Vehbi,Sacco,61acd3e25ca7e964a122deef,167,2020-09-06 00:00:00,mRNA vaccine,Moderna,2021-11-20 17:51:37,2,RLLFNC44L54F061P,Francesca,Rallo,61acd3e25ca7e964a122deec,589,2020-12-03 00:00:00,mRNA vaccine
+39399466671,Andrea,Vella,+393806719993,Gabriele,Rota,Viale Scala Greca,96100,399,Siracusa,1937-04-10,+39399309912,FRRLSN37D10I970E,Alessandro,M,Ferrero,2021-12-11 22:40:47,FBBLNZ29S22G879A,Lorenzo,Fabbri,61acd3e25ca7e964a122dee5,Negative,Antigen,,,,,,,,,,,,,,,,,,,,,,AstraZeneca,2021-01-21 06:34:23,1,BLTSMN66M03C567C,Simone,Beltrami,61acd3e25ca7e964a122def1,444,2020-11-06 00:00:00,vector vaccine,,,,,,,,,,
+393885466602,Zoumana,Lucchesi,+39346842849,Anna Maria,Messina,Piazza Europa,1020,3,San Lorenzo Nuovo,1968-07-04,+393951869419,LVRSFY68L44D121D,Safiya,F,Liverani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnson & Johnson,2021-12-24 04:55:33,1,VCHGRT72E50F677K,Greta,Vichi,61acd3e25ca7e964a122def0,145,2020-09-02 00:00:00,vector vaccine,,,,,,,,,,
+39376950107,Riccardo,Crippa,+393948845823,Daniela,Cattaneo,Via Stabilimenti,95010,2,Santa Venerina,1978-10-19,+39359647862,PPTMNI78R59E974Q,Imen,F,Pipitone,2021-12-11 15:21:26,ZNNLCU80H62C422B,Lucia,Zennaro,61acd3e25ca7e964a122dee2,Negative,Antigen,,,,,,,,,,,,,,,,,,,,,,Moderna,2021-04-02 07:27:33,1,RSSSDR85P46L380X,Sandra,Rossi,61acd3e25ca7e964a122dee8,298,2020-10-03 00:00:00,mRNA vaccine,,,,,,,,,,
+393387173692,Agata Rosa,Basso,+393393452166,Salvatore Valentino,Ferraro,Via S. Maria La Carità,84018,62,Scafati,1998-06-18,+39340388886,BRNDGI98H18A629L,Diego,M,Bruno,2021-12-12 00:24:10,SCCVHB79R10D921Q,Vehbi,Sacco,61acd3e25ca7e964a122deef,Negative,Antigen,2021-12-07 21:48:54,SCCVHB79R10D921Q,Vehbi,Sacco,61acd3e25ca7e964a122deef,Negative,Molecular,2021-11-20 23:48:50,CNTNNG66D42G148H,Inyang Effiong,Conti,61acd3e25ca7e964a122dee1,Negative,Antigen,2021-12-03 05:15:16,VCHGRT72E50F677K,Greta,Vichi,61acd3e25ca7e964a122def0,Negative,Antigen,Johnson & Johnson,2021-09-21 01:03:55,1,RMNSRG31M20L583K,Sergio,Romano,61acd3e25ca7e964a122dee7,357,2020-10-19 00:00:00,vector vaccine,,,,,,,,,,
+39353535614,Gabriella,Rosati,+39362283880,Lucia,Bresciani,Via Roma,23020,87,Piateda,1942-12-21,+39377119419,CLMLCU42T21F564A,Luca,M,Colombo,2021-11-23 07:15:02,MNCYLN72E43D201U,Aylin,Mancini,61acd3e25ca7e964a122dee7,Negative,Molecular,,,,,,,,,,,,,,,,,,,,,,AstraZeneca,2021-09-07 19:31:42,1,SNTVTR58B02F852V,Vittorio,Santilli,61acd3e25ca7e964a122def4,457,2020-11-07 00:00:00,vector vaccine,AstraZeneca,2021-10-05 19:31:42,2,FRLDNL93T63H531M,Daniela,Furlan,61acd3e25ca7e964a122def4,589,2020-12-03 00:00:00,vector vaccine
