person.address.address,person.address.cap,person.address.house_number,person.address.municipality,person.birthdate,person.cellphone,person.codice_fiscale,person.name,person.sex,person.surname,vaccination.0.datetime,vaccination.0.dose,vaccination.0.healtcarePersonnel.cellphone,vaccination.0.healtcarePersonnel.codice_fiscale,vaccination.0.healtcarePersonnel.name,vaccination.0.healtcarePersonnel.role,vaccination.0.healtcarePersonnel.surname,vaccination.0.type,vaccination.1.datetime,vaccination.1.dose,vaccination.1.healtcarePersonnel.name,vaccination.1.healtcarePersonnel.surname,vaccination.1.healtcarePersonnel.codice_fiscale,vaccination.1.healtcarePersonnel.cellphone,vaccination.1.healtcarePersonnel.role,vaccination.1.type,vaccination.0.id,vaccination.1.id,test.0.healtcarePersonnel.name,test.0.healtcarePersonnel.surname,test.0.healtcarePersonnel.codice_fiscale,test.0.healtcarePersonnel.cellphone,test.0.healtcarePersonnel.role,test.0.type,test.0.result,test.0.datetime,test.0.id,test.1.healtcarePersonnel.name,test.1.healtcarePersonnel.surname,test.1.healtcarePersonnel.codice_fiscale,test.1.healtcarePersonnel.cellphone,test.1.healtcarePersonnel.role,test.1.type,test.1.result,test.1.datetime,test.1.id,test.2.healtcarePersonnel.name,test.2.healtcarePersonnel.surname,test.2.healtcarePersonnel.codice_fiscale,test.2.healtcarePersonnel.cellphone,test.2.healtcarePersonnel.role,test.2.type,test.2.result,test.2.datetime,test.2.id,test.3.healtcarePersonnel.name,test.3.healtcarePersonnel.surname,test.3.healtcarePersonnel.codice_fiscale,test.3.healtcarePersonnel.cellphone,test.3.healtcarePersonnel.role,test.3.type,test.3.result,test.3.datetime,test.3.id,contact.0.name,contact.0.surname,contact.0.cellphone,contact.1.name,contact.1.surname,contact.1.cellphone
Stradastatale Adriatica,61100,48,Pesaro,1982-10-04,+39330036082,RCCTMS82R04E574L,Tommaso,M,Ricci,2021-06-01 01:25:10,1,+393647532070,RCCPLA60M29G698J,Paolo,doctor,Ricci,AstraZeneca,2021-06-29 01:25:10,2,Massimo,Favre,FVRMSM36L23L643L,+393658585675,nurse,AstraZeneca,548cd559-4e91-4e33-a2d4-ed852ce07a1d,b827aead-a811-4fe9-b306-8ea2a4fa684e,Artemis Xilia,Sartori,SRTRMS64T58B643Y,+39324448182,other,Antigen,Negative,2021-05-28 00:01:07,5e754053-05a3-4065-b493-18a9804c37ce,,,,,,,,,,Luigi,Di Marco,DMRLGU37T21L475N,+39361958223,other,Antigen,Negative,2021-11-21 09:35:57,b5881fb8-13c9-42f5-a1a1-a0b306b93282,Alban,Frigerio,FRGLBN43S11H601M,+39387372508,nurse,Antigen,Positive,2021-12-15 07:50:20,0046c12b-6804-496d-a5d8-6a29645a4eb9,Miriam,Medeot,+39358489098,Franco,Bernardini,+39369590182
Via Principe Umberto,96011,422,Augusta,1995-02-20,+39360027448,GVNBRN95B60M110V,Bruna,F,Govoni,2021-08-11 01:38:38,1,+39351397577,SLAVTR57A46D143A,Vittorina,doctor,Sala,AstraZeneca,2021-09-08 01:38:38,2,Benedetto,Ferrari,FRRBDT27H15B042P,+393825225815,nurse,AstraZeneca,6bd6aff3-6048-4488-a9da-3f8e605aa7cb,0c12ff15-8601-4d73-a0b7-4fc91181e3ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniela,Innocenti,+39394470053,Gianpiero,Di Iorio,+393724159090
Piazza Dalmazia,50141,24/R,Firenze,1983-07-25,+39382887648,RSSPRL83L25D718X,Pietro Aldo,M,Rossi,2021-08-24 20:20:44,1,+393187587649,CRTFNZ97P11E153E,Fiorenzo,other,Cerutti,AstraZeneca,,,,,,,,,66c890be-c3c8-4429-845d-c4896bed3696,,,,,,,,,,,Carla Adriana,Tagliabue,TGLCLD46L71F017F,+393605542839,nurse,Molecular,Negative,2021-02-23 13:48:17,fde8c9bd-e485-40c3-a10e-e1885f944539,Rokhaya,Zunino,ZNNRHY78B64L975Y,+393334998961,doctor,Antigen,Negative,2021-03-07 03:36:33,127ef802-ba3e-4490-b181-89b7ba5cba22,Rebecca,Licata,LCTRCC24D58F414E,+39382966738,other,Molecular,Positive,2021-10-10 10:14:14,7112a0fe-eee7-4752-88ef-5d215426061f,Elia,Pinna,+393210346280,Giovanni Vincenzo,Semeraro,+39349246684
Largo La Foppa,20121,1,Milano,1957-06-01,+393670604245,FBBNNA57H41G433J,Anna,F,Fabbri,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giulia,Russo,RSSGLI70M60D762Z,+393650743700,doctor,Molecular,Positive,2021-07-28 18:39:34,fb3fab62-177f-4300-9267-44489780a33e,,,,,,,,,,Giorgia,Licitra,LCTGRG40L67C927O,+393329004453,other,Antigen,Negative,2021-03-01 12:42:18,945462f8-d5f2-40a8-96c2-90d39268927e,Onorina,Mancini,+39372863784,Daniela,Fontana,+39398247366
Via Cederna,20052,47,Monza,1933-02-05,+39366300708,GROSML33B05L775F,Samuele,M,Gori,2021-05-10 16:41:26,1,+393807293419,HBRCRL58L67D078V,Carla,doctor,Huber,Pfizer-BioNTech,2021-06-07 16:41:26,2,Elena,Rosati,RSTLNE79E45B008S,+39322742915,doctor,Pfizer-BioNTech,63b95d1a-91bc-4567-a928-34308aa8b9b2,f2b801ae-9a54-46f6-8bfc-8e86784d87a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carla,Bianchi,BNCCRL71R54F641Z,+393135614326,doctor,Antigen,Negative,2021-07-16 12:09:20,470c0951-0aed-4205-81e1-15e0b198ef64,Kaoutar,Montemurro,+39362225846,Danilo,Vitale,+39342394096
Corso Alessandro Tassoni,10144,66/D,Torino,1933-07-14,+393113001975,SMRMTR33L54L920I,Maria Teresa,F,Semeraro,2021-07-03 03:31:02,1,+39385482724,MRTLRN99A47A947T,Lorena,other,Moretti,Johnson & Johnson,,,,,,,,,f538e009-ee89-496a-8c6f-2d7999d2bc64,,Ugo,Mazzocchi,MZZGUO72D09B643U,+39393740669,doctor,Molecular,Positive,2021-03-13 16:03:18,e34eb436-6240-4515-9864-d9692cac4564,Teresina,Marchetti,MRCTSN99T69D472X,+39325964856,nurse,Molecular,Negative,2021-01-04 10:53:08,62f2f3ad-8d11-4a37-80aa-10ad0cd66040,,,,,,,,,,Gianpiero,Pession,PSSGPR29C20H497T,+39361948322,other,Antigen,Negative,2021-10-11 12:10:28,3ef52c44-e513-49e7-89bd-bfd75ce37857,Luigi,Vuillermoz,+39396127390,Pasquale,Donda,+39328130914
Via Roma,09020,86,Pimentel,1922-01-26,+393907730755,RSSGRG22A26H297R,Giorgio,M,Rossi,2021-08-30 03:43:44,1,+393452332962,RSSRFL49T63I196A,Raffaella,nurse,Rossi,Moderna,,,,,,,,,288b4551-7f08-4556-a165-dfd2ec69da3b,,Annamaria,Crevatin,CRVNMR77P70L424Q,+393121556518,other,Antigen,Positive,2021-09-19 04:56:15,ea6ef0fb-75be-49ff-99eb-05f5128ab102,Barbara,Deiana,DNEBBR25S65I448Y,+39386749789,nurse,Antigen,Positive,2021-02-06 09:18:57,8462728a-e4fc-4a23-93d1-8a0fae2a2b8e,Francesca,Bisio,BSIFNC50T53G695Q,+39350941644,other,Antigen,Positive,2021-03-05 13:22:48,056e12bd-d569-4d43-9fbe-ae5736566a94,,,,,,,,,,Mario,Davoli,+393210533487,Martina,Piras,+39364306027
Via Lungomare,87023,96,Diamante,1964-04-15,+393962337678,RSSFRZ64D15D549B,Fabrizio,M,Rossi,2021-01-30 05:42:48,1,+39357573343,MSSMRA48H48F065U,Maria,doctor,Messina,Moderna,,,,,,,,,7b7f0ed9-44c7-4307-8850-2cc28018d549,,,,,,,,,,,,,,,,,,,,Rosanna,Mariani,MRNRNN74S54C702U,+39351480935,doctor,Antigen,Negative,2021-11-28 08:16:57,72afb8de-0500-427f-a8a9-b83eead849c3,Rita,Battistini,BTTRTI59M54F668P,+39390668284,doctor,Molecular,Positive,2021-08-16 17:30:35,ac2910b5-36a8-4def-8cf3-9e72dbf43ac9,Silvia,Bianchi,+393849881377,Michele,Bortolin,+39338182652
Via Dei Platani,04023,58/B,Formia,1922-04-25,+393667919551,SLVRSN22D65I232Z,Rossana,F,Salvadori,2021-03-18 10:30:14,1,+39378263148,MRTJNF51A47F458B,Jennifer,other,Moretti,Pfizer-BioNTech,2021-04-15 10:30:14,2,Serena,Mancini,MNCSRN76R47E128W,+393759105051,other,Pfizer-BioNTech,98a159cc-fa36-4da8-9de7-a268c633f897,3896b9b2-9c1f-4837-ac1e-40b9db0f9c43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salvatore Giuseppe,Biagini,+393557570422,Franco,De Luca,+393436228974
Piazza Vittorio Emanuele,72023,69,Mesagne,1958-01-09,+393718727618,LMBSHR58A49G767F,Scharon,F,Lombardo,2021-06-29 18:14:16,1,+393996183226,BSISMN33R20E870I,Simone,other,Bisio,Johnson & Johnson,,,,,,,,,79b2b101-3cc1-4676-8425-a647d1654f7c,,,,,,,,,,,Anna Orestina,Romeo,RMONRS34H52G735R,+39356206875,other,Molecular,Positive,2021-10-22 05:17:37,e5b10355-d1c0-4d3e-9dc5-d61b708142a8,,,,,,,,,,Antonietta,Rizzo,RZZNNT68C56B345Z,+393611740618,doctor,Molecular,Negative,2021-07-17 05:11:38,e50b7376-c541-42d3-a226-a87f1d829919,Flavio,Mancini,+393104188516,Bruno,Blanc,+39396905474
